$\beta_{c||}$,$v_t/c$,$n_{spec}$,$\alpha_c$,$\tau_b$,$\alpha_b$,$D_b$,$vv_b$,$vv_e$,case,$k_\perp$,$k_{||}$,$\omega_r / \Omega_p$,$\gamma / \Omega_p$,$P_1$,$P_2$,$P_3$,$P_4$,$P_5$,$Re(E_x)$,$Im(E_x)$,$Re(E_y)$,$Im(E_y)$,$Re(E_z)$,$Im(E_z)$,$Re(B_x)$,$Im(B_x)$,$Re(B_y)$,$Im(B_y)$,$Re(B_z)$,$Im(B_z)$
0.95286608,0.0001035532,3,1.6437147,0.39351785,1.0258056,0.087946154,1.4553953,0.11765002,125.0,0.001,0.5028,0.35291,0.010395,-0.027125,-0.001944,2.5734e-08,0.0,0.0,1.0,0.0,1.44e-05,-1.0,-0.000167,0.0007,316.0,10700.0,10700.0,-316.0,-0.628,-21.3
0.49759001,0.00012393594,3,2.0577073,0.62420821,0.48323333,0.084123746,0.65389848,0.050739378,126.0,0.001,0.55018,0.45039,0.022655,-0.051937,0.0035741,2.271e-08,0.0,0.0,1.0,0.0,7.72e-06,-1.0,-0.000276,0.000894,345.0,6850.0,6850.0,-345.0,-0.627,-12.5
1.2768897,0.00017148379,3,0.99843258,1.1874346,0.41035646,0.12016992,0.96557677,0.10358612,127.0,0.001,0.67751,0.84275,0.001731,0.0021339,-0.0041881,3.9014e-08,0.0,0.0,1.0,0.0,9.22e-07,1.0,0.000155,-0.000281,-9.64,-4690.0,4690.0,-9.63,0.0142,6.92
1.4630557,0.0001319111,3,1.9798772,0.72246903,0.96994996,0.050438814,1.3641113,0.065502331,128.0,0.001,0.74526,0.42775,0.058187,-0.12529,-0.00051499,1.3663e-08,0.0,0.0,1.0,0.0,5.96e-06,-1.0,-5.72e-05,0.000725,1250.0,9220.0,9220.0,-1250.0,-1.68,-12.4
0.57506788,0.00010494479,3,1.5665245,1.0171902,1.7541732,0.069378115,0.9109723,0.05910106,129.0,0.001,0.36447,0.32875,0.0010368,-0.0031501,-2.5868e-06,5.6147e-08,0.0,0.0,1.0,0.0,1.7e-05,-1.0,-0.000299,0.000691,26.5,8440.0,8440.0,-26.6,-0.0726,-23.2
0.5590173,0.00014536636,3,1.2156597,0.92701542,0.75668132,0.12046126,0.66218781,0.071192011,,,,,,,,,,,,,,,,,,,,,,
1.6281523,0.00015247866,3,1.1156472,1.1128149,0.62008214,0.050355501,1.1205273,0.053718656,131.0,0.001,0.52871,0.52693,0.00015896,0.00072843,-0.0010302,7.5851e-08,0.0,0.0,1.0,0.0,2.44e-06,1.0,9.31e-05,-0.000395,-1.89,-6230.0,6230.0,-1.87,0.00358,11.8
0.80866367,0.00017293009,3,1.192592,1.8924408,1.3259159,0.10678352,0.75744355,0.07307855,,,,,,,,,,,,,,,,,,,,,,
0.63337129,0.00017211921,3,0.94060749,1.3755362,0.72973776,0.069965072,0.59656268,0.039009254,,,,,,,,,,,,,,,,,,,,,,
1.4501904,0.00016137138,3,1.0567088,0.84139931,0.64220297,0.081497863,1.0808278,0.081449062,134.0,0.001,0.5985,0.66175,0.0026558,0.0015138,-0.0055282,5.5164e-08,0.0,0.0,1.0,0.0,1.48e-06,1.0,0.000128,-0.000346,-21.9,-5450.0,5450.0,-21.9,0.0366,9.11
